Emp ID,Name,Year/Age,Projected Salary,Probability (qx),Expected Outflow
101,Employee 1,46,11280.00,0.004748,53.56
101,Employee 1,47,11505.60,0.004748,54.63
101,Employee 1,48,11735.71,0.004748,55.72
101,Employee 1,49,11970.43,0.004748,56.84
101,Employee 1,50,12209.83,0.007059,86.19
101,Employee 1,51,12454.03,0.007059,87.91
101,Employee 1,52,12703.11,0.007059,89.67
101,Employee 1,53,12957.17,0.007059,91.46
101,Employee 1,54,13216.32,0.007059,93.29
101,Employee 1,55,13480.64,0.010286,138.66
201,Employee 2,22,5030.00,0.001152,5.79
201,Employee 2,23,5130.60,0.001152,5.91
201,Employee 2,24,5233.21,0.001152,6.03
201,Employee 2,25,5337.88,0.001413,7.54
201,Employee 2,26,5444.63,0.001492,8.12
201,Employee 2,27,5553.53,0.001492,8.29
201,Employee 2,28,5664.60,0.001492,8.45
201,Employee 2,29,5777.89,0.001492,8.62
201,Employee 2,30,5893.45,0.001492,8.79
201,Employee 2,31,6011.32,0.001492,8.97
201,Employee 2,32,6131.54,0.001492,9.15
201,Employee 2,33,6254.17,0.001492,9.33
201,Employee 2,34,6379.26,0.001492,9.52
201,Employee 2,35,6506.84,0.002290,14.90
201,Employee 2,36,6636.98,0.002290,15.20
201,Employee 2,37,6769.72,0.002290,15.50
201,Employee 2,38,6905.11,0.002290,15.81
201,Employee 2,39,7043.21,0.002290,16.13
201,Employee 2,40,7184.08,0.003211,23.07
201,Employee 2,41,7327.76,0.003211,23.53
201,Employee 2,42,7474.32,0.003211,24.00
201,Employee 2,43,7623.80,0.003211,24.48
201,Employee 2,44,7776.28,0.003211,24.97
201,Employee 2,45,7931.80,0.004626,36.69
201,Employee 2,46,8090.44,0.004748,38.41
201,Employee 2,47,8252.25,0.004748,39.18
201,Employee 2,48,8417.29,0.004748,39.97
201,Employee 2,49,8585.64,0.004748,40.76
201,Employee 2,50,8757.35,0.007059,61.82
201,Employee 2,51,8932.50,0.007059,63.05
201,Employee 2,52,9111.15,0.007059,64.32
201,Employee 2,53,9293.37,0.007059,65.60
201,Employee 2,54,9479.24,0.007059,66.91
201,Employee 2,55,9668.82,0.010286,99.45
301,Employee 3,36,8587.00,0.002290,19.66
301,Employee 3,37,8758.74,0.002290,20.06
301,Employee 3,38,8933.91,0.002290,20.46
301,Employee 3,39,9112.59,0.002290,20.87
301,Employee 3,40,9294.84,0.003211,29.85
301,Employee 3,41,9480.74,0.003211,30.44
301,Employee 3,42,9670.36,0.003211,31.05
301,Employee 3,43,9863.76,0.003211,31.67
301,Employee 3,44,10061.04,0.003211,32.31
301,Employee 3,45,10262.26,0.004626,47.47
301,Employee 3,46,10467.51,0.004748,49.70
301,Employee 3,47,10676.86,0.004748,50.69
301,Employee 3,48,10890.39,0.004748,51.71
301,Employee 3,49,11108.20,0.004748,52.74
301,Employee 3,50,11330.36,0.007059,79.98
301,Employee 3,51,11556.97,0.007059,81.58
301,Employee 3,52,11788.11,0.007059,83.21
301,Employee 3,53,12023.87,0.007059,84.88
301,Employee 3,54,12264.35,0.007059,86.57
301,Employee 3,55,12509.64,0.010286,128.67
401,Employee 4,32,118911.00,0.001492,177.42
401,Employee 4,33,121289.22,0.001492,180.96
401,Employee 4,34,123715.00,0.001492,184.58
401,Employee 4,35,126189.30,0.002290,288.97
401,Employee 4,36,128713.09,0.002290,294.75
401,Employee 4,37,131287.35,0.002290,300.65
401,Employee 4,38,133913.10,0.002290,306.66
401,Employee 4,39,136591.36,0.002290,312.79
401,Employee 4,40,139323.19,0.003211,447.37
401,Employee 4,41,142109.65,0.003211,456.31
401,Employee 4,42,144951.85,0.003211,465.44
401,Employee 4,43,147850.88,0.003211,474.75
401,Employee 4,44,150807.90,0.003211,484.24
401,Employee 4,45,153824.06,0.004626,711.59
401,Employee 4,46,156900.54,0.004748,744.96
401,Employee 4,47,160038.55,0.004748,759.86
401,Employee 4,48,163239.32,0.004748,775.06
401,Employee 4,49,166504.11,0.004748,790.56
401,Employee 4,50,169834.19,0.007059,1198.86
401,Employee 4,51,173230.87,0.007059,1222.84
401,Employee 4,52,176695.49,0.007059,1247.29
401,Employee 4,53,180229.40,0.007059,1272.24
401,Employee 4,54,183833.99,0.007059,1297.68
401,Employee 4,55,187510.67,0.010286,1928.73
502,Employee 5,45,16699.00,0.004626,77.25
502,Employee 5,46,17032.98,0.004748,80.87
502,Employee 5,47,17373.64,0.004748,82.49
502,Employee 5,48,17721.11,0.004748,84.14
502,Employee 5,49,18075.53,0.004748,85.82
502,Employee 5,50,18437.05,0.007059,130.15
502,Employee 5,51,18805.79,0.007059,132.75
502,Employee 5,52,19181.90,0.007059,135.41
502,Employee 5,53,19565.54,0.007059,138.11
502,Employee 5,54,19956.85,0.007059,140.88
502,Employee 5,55,20355.99,0.010286,209.38
602,Employee 6,48,1115.00,0.004748,5.29
602,Employee 6,49,1137.30,0.004748,5.40
602,Employee 6,50,1160.05,0.007059,8.19
602,Employee 6,51,1183.25,0.007059,8.35
602,Employee 6,52,1206.91,0.007059,8.52
602,Employee 6,53,1231.05,0.007059,8.69
602,Employee 6,54,1255.67,0.007059,8.86
602,Employee 6,55,1280.78,0.010286,13.17
702,Employee 7,53,8811.00,0.007059,62.20
702,Employee 7,54,8987.22,0.007059,63.44
702,Employee 7,55,9166.96,0.010286,94.29
