Emp ID,Name,Year/Age,Projected Salary,Probability (qx),Expected Outflow
1,Employee 1,35,11280.00,0.002290,25.83
1,Employee 1,36,11844.00,0.002290,27.12
1,Employee 1,37,12436.20,0.002290,28.48
1,Employee 1,38,13058.01,0.002290,29.90
1,Employee 1,39,13710.91,0.002290,31.40
1,Employee 1,40,14396.46,0.003211,46.23
1,Employee 1,41,15116.28,0.003211,48.54
1,Employee 1,42,15872.09,0.003211,50.97
1,Employee 1,43,16665.70,0.003211,53.51
1,Employee 1,44,17498.98,0.003211,56.19
1,Employee 1,45,18373.93,0.004626,85.00
1,Employee 1,46,19292.63,0.004748,91.60
1,Employee 1,47,20257.26,0.004748,96.18
1,Employee 1,48,21270.12,0.004748,100.99
1,Employee 1,49,22333.63,0.004748,106.04
1,Employee 1,50,23450.31,0.007059,165.54
1,Employee 1,51,24622.83,0.007059,173.81
1,Employee 1,52,25853.97,0.007059,182.50
1,Employee 1,53,27146.66,0.007059,191.63
1,Employee 1,54,28504.00,0.007059,201.21
1,Employee 1,55,29929.20,0.010286,307.85
1,Employee 1,56,31425.66,0.010286,323.24
1,Employee 1,57,32996.94,0.010286,339.41
1,Employee 1,58,34646.79,0.010286,356.38
1,Employee 1,59,36379.13,0.010286,374.20
1,Employee 1,60,38198.08,0.000000,0.00
2,Employee 2,23,8030.00,0.001152,9.25
2,Employee 2,24,8431.50,0.001152,9.71
2,Employee 2,25,8853.08,0.001413,12.51
2,Employee 2,26,9295.73,0.001492,13.87
2,Employee 2,27,9760.52,0.001492,14.56
2,Employee 2,28,10248.54,0.001492,15.29
2,Employee 2,29,10760.97,0.001492,16.06
2,Employee 2,30,11299.02,0.001492,16.86
2,Employee 2,31,11863.97,0.001492,17.70
2,Employee 2,32,12457.17,0.001492,18.59
2,Employee 2,33,13080.02,0.001492,19.52
2,Employee 2,34,13734.03,0.001492,20.49
2,Employee 2,35,14420.73,0.002290,33.02
2,Employee 2,36,15141.76,0.002290,34.67
2,Employee 2,37,15898.85,0.002290,36.41
2,Employee 2,38,16693.79,0.002290,38.23
2,Employee 2,39,17528.48,0.002290,40.14
2,Employee 2,40,18404.91,0.003211,59.10
2,Employee 2,41,19325.15,0.003211,62.05
2,Employee 2,42,20291.41,0.003211,65.16
2,Employee 2,43,21305.98,0.003211,68.41
2,Employee 2,44,22371.28,0.003211,71.83
2,Employee 2,45,23489.84,0.004626,108.66
2,Employee 2,46,24664.34,0.004748,117.11
2,Employee 2,47,25897.55,0.004748,122.96
2,Employee 2,48,27192.43,0.004748,129.11
2,Employee 2,49,28552.05,0.004748,135.57
2,Employee 2,50,29979.65,0.007059,211.63
2,Employee 2,51,31478.64,0.007059,222.21
2,Employee 2,52,33052.57,0.007059,233.32
2,Employee 2,53,34705.20,0.007059,244.98
2,Employee 2,54,36440.46,0.007059,257.23
2,Employee 2,55,38262.48,0.010286,393.57
2,Employee 2,56,40175.60,0.010286,413.25
2,Employee 2,57,42184.38,0.010286,433.91
2,Employee 2,58,44293.60,0.010286,455.60
2,Employee 2,59,46508.28,0.010286,478.38
2,Employee 2,60,48833.70,0.000000,0.00
3,Employee 3,41,2517.00,0.003211,8.08
3,Employee 3,42,2642.85,0.003211,8.49
3,Employee 3,43,2774.99,0.003211,8.91
3,Employee 3,44,2913.74,0.003211,9.36
3,Employee 3,45,3059.43,0.004626,14.15
3,Employee 3,46,3212.40,0.004748,15.25
3,Employee 3,47,3373.02,0.004748,16.02
3,Employee 3,48,3541.67,0.004748,16.82
3,Employee 3,49,3718.76,0.004748,17.66
3,Employee 3,50,3904.69,0.007059,27.56
3,Employee 3,51,4099.93,0.007059,28.94
3,Employee 3,52,4304.92,0.007059,30.39
3,Employee 3,53,4520.17,0.007059,31.91
3,Employee 3,54,4746.18,0.007059,33.50
3,Employee 3,55,4983.49,0.010286,51.26
3,Employee 3,56,5232.66,0.010286,53.82
3,Employee 3,57,5494.30,0.010286,56.51
3,Employee 3,58,5769.01,0.010286,59.34
3,Employee 3,59,6057.46,0.010286,62.31
3,Employee 3,60,6360.33,0.000000,0.00
4,Employee 4,31,11891.00,0.001492,17.74
4,Employee 4,32,12485.55,0.001492,18.63
4,Employee 4,33,13109.83,0.001492,19.56
4,Employee 4,34,13765.32,0.001492,20.54
4,Employee 4,35,14453.58,0.002290,33.10
4,Employee 4,36,15176.26,0.002290,34.75
4,Employee 4,37,15935.08,0.002290,36.49
4,Employee 4,38,16731.83,0.002290,38.32
4,Employee 4,39,17568.42,0.002290,40.23
4,Employee 4,40,18446.84,0.003211,59.23
4,Employee 4,41,19369.19,0.003211,62.19
4,Employee 4,42,20337.65,0.003211,65.30
4,Employee 4,43,21354.53,0.003211,68.57
4,Employee 4,44,22422.25,0.003211,72.00
4,Employee 4,45,23543.37,0.004626,108.91
4,Employee 4,46,24720.53,0.004748,117.37
4,Employee 4,47,25956.56,0.004748,123.24
4,Employee 4,48,27254.39,0.004748,129.40
4,Employee 4,49,28617.11,0.004748,135.87
4,Employee 4,50,30047.96,0.007059,212.11
4,Employee 4,51,31550.36,0.007059,222.71
4,Employee 4,52,33127.88,0.007059,233.85
4,Employee 4,53,34784.28,0.007059,245.54
4,Employee 4,54,36523.49,0.007059,257.82
4,Employee 4,55,38349.66,0.010286,394.46
4,Employee 4,56,40267.15,0.010286,414.19
4,Employee 4,57,42280.50,0.010286,434.90
4,Employee 4,58,44394.53,0.010286,456.64
4,Employee 4,59,46614.26,0.010286,479.47
4,Employee 4,60,48944.97,0.000000,0.00
5,Employee 5,44,6699.00,0.003211,21.51
5,Employee 5,45,7033.95,0.004626,32.54
5,Employee 5,46,7385.65,0.004748,35.07
5,Employee 5,47,7754.93,0.004748,36.82
5,Employee 5,48,8142.68,0.004748,38.66
5,Employee 5,49,8549.81,0.004748,40.59
5,Employee 5,50,8977.30,0.007059,63.37
5,Employee 5,51,9426.17,0.007059,66.54
5,Employee 5,52,9897.47,0.007059,69.87
5,Employee 5,53,10392.35,0.007059,73.36
5,Employee 5,54,10911.97,0.007059,77.03
5,Employee 5,55,11457.56,0.010286,117.85
5,Employee 5,56,12030.44,0.010286,123.75
5,Employee 5,57,12631.96,0.010286,129.93
5,Employee 5,58,13263.56,0.010286,136.43
5,Employee 5,59,13926.74,0.010286,143.25
5,Employee 5,60,14623.08,0.000000,0.00
6,Employee 6,40,10115.00,0.003211,32.48
6,Employee 6,41,10620.75,0.003211,34.10
6,Employee 6,42,11151.79,0.003211,35.81
6,Employee 6,43,11709.38,0.003211,37.60
6,Employee 6,44,12294.85,0.003211,39.48
6,Employee 6,45,12909.59,0.004626,59.72
6,Employee 6,46,13555.07,0.004748,64.36
6,Employee 6,47,14232.82,0.004748,67.58
6,Employee 6,48,14944.46,0.004748,70.96
6,Employee 6,49,15691.68,0.004748,74.50
6,Employee 6,50,16476.27,0.007059,116.31
6,Employee 6,51,17300.08,0.007059,122.12
6,Employee 6,52,18165.09,0.007059,128.23
6,Employee 6,53,19073.34,0.007059,134.64
6,Employee 6,54,20027.01,0.007059,141.37
6,Employee 6,55,21028.36,0.010286,216.30
6,Employee 6,56,22079.78,0.010286,227.11
6,Employee 6,57,23183.77,0.010286,238.47
6,Employee 6,58,24342.95,0.010286,250.39
6,Employee 6,59,25560.10,0.010286,262.91
6,Employee 6,60,26838.11,0.000000,0.00
7,Employee 7,52,3111.00,0.007059,21.96
7,Employee 7,53,3266.55,0.007059,23.06
7,Employee 7,54,3429.88,0.007059,24.21
7,Employee 7,55,3601.37,0.010286,37.04
7,Employee 7,56,3781.44,0.010286,38.90
7,Employee 7,57,3970.51,0.010286,40.84
7,Employee 7,58,4169.04,0.010286,42.88
7,Employee 7,59,4377.49,0.010286,45.03
7,Employee 7,60,4596.36,0.000000,0.00
